date,year,month,pna,nao,pdo,amo,enso_soi,mei,ao
2010-01-01,2010,1,0.960,-1.800,0.101,0.390,-1.100,0.930,-2.587
2010-02-01,2010,2,0.480,-2.690,0.269,0.430,-1.500,1.280,-4.266
2010-03-01,2010,3,1.680,-1.330,-0.045,0.520,-0.700,1.330,-0.432
2010-04-01,2010,4,1.260,-0.930,0.029,0.700,1.200,0.490,-0.275
2010-05-01,2010,5,-0.730,-1.330,-0.055,0.750,0.900,-0.120,-0.919
2010-06-01,2010,6,-0.100,-0.520,-0.773,0.880,0.400,-1.290,-0.013
2010-07-01,2010,7,0.890,-0.390,-1.553,0.830,1.800,-2.420,0.435
2010-08-01,2010,8,1.070,-1.690,-1.671,0.910,1.800,-2.380,-0.117
2010-09-01,2010,9,1.070,-0.620,-1.814,0.670,2.200,-2.260,-0.865
2010-10-01,2010,10,2.150,-0.500,-1.307,0.600,1.700,-2.160,-0.467
2010-11-01,2010,11,-0.810,-1.840,-1.272,0.630,1.300,-2.010,-0.376
2010-12-01,2010,12,-2.080,-1.800,-1.849,0.430,2.900,-1.850,-2.631
2011-01-01,2011,1,1.000,-1.530,-1.576,0.420,2.300,-1.770,-1.683
2011-02-01,2011,2,-2.410,0.350,-1.172,0.360,2.700,-1.590,1.575
2011-03-01,2011,3,0.380,0.240,-1.074,0.300,2.500,-1.750,1.424
2011-04-01,2011,4,-1.780,2.550,-0.974,0.400,1.900,-1.690,2.275
2011-05-01,2011,5,0.250,-0.010,-1.057,0.410,0.400,-1.240,-0.035
2011-06-01,2011,6,0.350,-0.980,-1.611,0.500,0.200,-1.030,-0.858
2011-07-01,2011,7,-0.750,-1.480,-2.342,0.380,1.000,-0.750,-0.472
2011-08-01,2011,8,1.400,-1.850,-2.170,0.440,0.400,-0.810,-1.063
2011-09-01,2011,9,-0.390,0.670,-1.943,0.430,1.000,-1.080,0.665
2011-10-01,2011,10,0.860,0.940,-1.620,0.490,0.800,-1.300,0.800
2011-11-01,2011,11,-0.760,1.300,-2.676,0.330,1.100,-1.140,1.459
2011-12-01,2011,12,0.060,2.250,-2.367,0.330,2.500,-1.180,2.221
2012-01-01,2012,1,0.130,0.860,-1.811,0.380,1.100,-1.070,-0.220
2012-02-01,2012,2,0.700,0.030,-1.260,0.340,0.500,-0.680,-0.036
2012-03-01,2012,3,-0.190,0.930,-1.432,0.370,0.700,-0.590,1.037
2012-04-01,2012,4,-0.090,0.370,-0.680,0.410,-0.300,-0.380,-0.035
2012-05-01,2012,5,-0.290,-0.790,-1.540,0.470,0.000,-0.320,0.168
2012-06-01,2012,6,-0.420,-2.250,-1.396,0.580,-0.400,-0.280,-0.672
2012-07-01,2012,7,-0.570,-1.290,-1.936,0.640,-0.000,0.340,0.168
2012-08-01,2012,8,-0.200,-1.390,-1.938,0.740,-0.200,-0.020,0.014
2012-09-01,2012,9,-0.390,-0.430,-2.235,0.810,0.200,-0.290,0.772
2012-10-01,2012,10,-1.130,-1.730,-0.816,0.760,0.300,-0.190,-1.514
2012-11-01,2012,11,-1.060,-0.740,-0.665,0.560,0.300,-0.030,-0.111
2012-12-01,2012,12,-1.310,0.070,-1.173,0.550,-0.600,-0.030,-1.749
2013-01-01,2013,1,0.050,-0.110,-0.997,0.540,-0.100,-0.060,-0.610
2013-02-01,2013,2,0.300,-0.960,-1.209,0.440,-0.200,-0.080,-1.007
2013-03-01,2013,3,-0.260,-2.090,-1.114,0.440,1.500,-0.130,-3.185
2013-04-01,2013,4,-1.760,0.600,-0.603,0.370,0.200,-0.350,0.322
2013-05-01,2013,5,-0.240,0.580,-0.325,0.370,0.800,-0.680,0.494
2013-06-01,2013,6,-0.350,0.830,-1.124,0.330,1.200,-1.140,0.549
2013-07-01,2013,7,-0.710,0.700,-1.258,0.530,0.800,-0.790,-0.011
2013-08-01,2013,8,-0.060,1.120,-1.226,0.500,0.200,-0.450,0.154
2013-09-01,2013,9,0.410,0.380,-0.731,0.610,0.300,-0.330,-0.461
2013-10-01,2013,10,-0.210,-0.880,-1.288,0.780,-0.100,-0.130,0.263
2013-11-01,2013,11,-1.140,0.810,-0.873,0.570,0.700,-0.160,2.029
2013-12-01,2013,12,-1.160,0.790,-1.169,0.400,0.100,-0.330,1.475
2014-01-01,2014,1,0.590,-0.170,-0.573,0.330,1.400,-0.500,-0.969
2014-02-01,2014,2,-1.570,1.070,-0.308,0.270,0.100,-0.420,0.044
2014-03-01,2014,3,-0.500,0.440,0.426,0.200,-0.900,-0.050,1.206
2014-04-01,2014,4,-0.000,0.190,0.536,0.200,0.800,-0.170,0.972
2014-05-01,2014,5,-0.590,-0.800,1.272,0.200,0.500,-0.170,0.464
