OBJECTID *	Shape *	basin	number	year	name	entries	statuses_of_system	maximum_sustained_wind	month	day	hour	minute	record_identifier	status_of_system	latitude	longitude	minimum_pressure	Shape_Length
2	Polyline Z	AL	06	1851	UNNAMED	17	["TS"]	50	10	19	12	00		TS	40.2	-71.8	-999	0.905539
3	Polyline Z	AL	06	1851	UNNAMED	17	["TS"]	50	10	19	15	00	L	TS	41.1	-71.7	-999	0.905539
8	Polyline Z	AL	03	1858	UNNAMED	16	["TS","HU"]	80	09	16	17	00	L	HU	40.9	-72.2	-999	0.538516
9	Polyline Z	AL	03	1858	UNNAMED	16	["TS","HU"]	70	09	16	18	00	L	HU	41.4	-72	979	4.561798
13	Polyline Z	AL	05	1861	UNNAMED	7	["HU","TS"]	50	09	28	06	00		TS	42	-72.6	-999	5.916925
15	Polyline Z	AL	08	1861	UNNAMED	15	["TS","HU"]	60	11	03	08	00	L	TS	41	-72.3	-999	0.360555
16	Polyline Z	AL	08	1861	UNNAMED	15	["TS","HU"]	60	11	03	09	00	L	TS	41.2	-72	-999	0.943398
17	Polyline Z	AL	08	1861	UNNAMED	15	["TS","HU"]	50	11	03	12	00		TS	42	-71.5	1000	2.5
22	Polyline Z	AL	06	1869	UNNAMED	12	["HU","TS"]	100	09	08	18	00		HU	38.8	-72.6	950	2.308679
23	Polyline Z	AL	06	1869	UNNAMED	12	["HU","TS"]	100	09	08	21	00	L	HU	41	-71.9	963	0.447214
24	Polyline Z	AL	06	1869	UNNAMED	12	["HU","TS"]	100	09	08	22	00	L	HU	41.4	-71.7	965	1.523155
25	Polyline Z	AL	06	1869	UNNAMED	12	["HU","TS"]	80	09	09	00	00		HU	42.8	-71.1	973	4.695743
27	Polyline Z	AL	10	1869	UNNAMED	10	["HU","TS"]	90	10	04	18	00		HU	40.7	-70.6	-999	0.608276
28	Polyline Z	AL	10	1869	UNNAMED	10	["HU","TS"]	90	10	04	19	00	L	HU	41.3	-70.5	-999	0.412311
29	Polyline Z	AL	10	1869	UNNAMED	10	["HU","TS"]	90	10	04	20	00	L	HU	41.7	-70.4	-999	2.022375
30	Polyline Z	AL	10	1869	UNNAMED	10	["HU","TS"]	90	10	04	23	00	L	HU	43.7	-70.1	-999	0.316228
31	Polyline Z	AL	10	1869	UNNAMED	10	["HU","TS"]	80	10	05	00	00		HU	44	-70	-999	2.915476
35	Polyline Z	AL	05	1872	UNNAMED	28	["TS","HU","EX"]	40	10	27	00	00		TS	41.3	-72.6	-999	1.392839
36	Polyline Z	AL	05	1872	UNNAMED	28	["TS","HU","EX"]	40	10	27	06	00		TS	41.8	-71.3	-999	2.184033
38	Polyline Z	AL	06	1874	UNNAMED	27	["TS","TD","HU","EX"]	60	09	30	00	00		TS	40.9	-73.6	-999	2.690725
39	Polyline Z	AL	06	1874	UNNAMED	27	["TS","TD","HU","EX"]	60	09	30	06	00		TS	42.7	-71.6	-999	2.262742
40	Polyline Z	AL	06	1874	UNNAMED	27	["TS","TD","HU","EX"]	60	09	30	12	00		EX	44.3	-70	-999	2.624881
43	Polyline Z	AL	02	1876	UNNAMED	33	["HU","TS","TD"]	30	09	19	06	00		TD	42.7	-73	-999	1.552417
44	Polyline Z	AL	02	1876	UNNAMED	33	["HU","TS","TD"]	30	09	19	12	00		TD	42.3	-71.5	-999	1.529706
47	Polyline Z	AL	04	1877	UNNAMED	61	["TS","HU","EX"]	60	10	05	06	00		EX	40.8	-72.4	-999	3.138471
50	Polyline Z	AL	11	1878	UNNAMED	33	["TS","HU","EX"]	50	10	24	06	00		EX	42.9	-71.4	-999	2.630589
52	Polyline Z	AL	02	1879	UNNAMED	32	["TS","HU"]	80	08	19	00	00		HU	39.5	-73.4	984	3.220248
53	Polyline Z	AL	02	1879	UNNAMED	32	["TS","HU"]	70	08	19	06	00	L	HU	41.4	-70.8	984	3.383785
56	Polyline Z	AL	11	1880	UNNAMED	20	["TS","EX"]	60	10	23	06	00		EX	40.2	-70.5	-999	1.208305
57	Polyline Z	AL	11	1880	UNNAMED	20	["TS","EX"]	60	10	23	08	00	L	EX	41.3	-70	-999	2.416609
58	Polyline Z	AL	11	1880	UNNAMED	20	["TS","EX"]	60	10	23	12	00		EX	43.5	-69	991	0.538516
59	Polyline Z	AL	11	1880	UNNAMED	20	["TS","EX"]	60	10	23	13	00	L	EX	44	-68.8	991	2.154066
64	Polyline Z	AL	04	1885	UNNAMED	29	["TS","HU","EX"]	80	09	23	06	00		HU	42.3	-68.8	-999	2.302173
65	Polyline Z	AL	13	1887	UNNAMED	53	["TS","HU","TD","EX"]	45	10	21	12	00		EX	39.5	-72	-999	3.905125
67	Polyline Z	AL	03	1888	UNNAMED	44	["TS","HU","EX"]	40	08	22	00	00		TS	40.6	-76.5	-999	4.876474
68	Polyline Z	AL	03	1888	UNNAMED	44	["TS","HU","EX"]	40	08	22	06	00		TS	41.9	-71.8	-999	3.921734
69	Polyline Z	AL	05	1888	UNNAMED	28	["TS","EX"]	35	09	12	00	00		EX	40.6	-73.3	-999	2.080865
70	Polyline Z	AL	05	1888	UNNAMED	28	["TS","EX"]	35	09	12	06	00		EX	41.8	-71.6	-999	2.080865
71	Polyline Z	AL	05	1888	UNNAMED	28	["TS","EX"]	35	09	12	12	00		EX	43	-69.9	-999	2.683282
72	Polyline Z	AL	06	1888	UNNAMED	18	["TS","HU","EX"]	70	09	26	06	00		HU	38.9	-71.9	-999	2.86007
73	Polyline Z	AL	06	1888	UNNAMED	18	["TS","HU","EX"]	70	09	26	12	00		HU	41.2	-70.2	985	0.5
74	Polyline Z	AL	06	1888	UNNAMED	18	["TS","HU","EX"]	70	09	26	13	00	L	HU	41.6	-69.9	985	1.720465
75	Polyline Z	AL	06	1888	UNNAMED	18	["TS","HU","EX"]	60	09	26	18	00		TS	43	-68.9	-999	2.280351
81	Polyline Z	AL	06	1889	UNNAMED	61	["TS","HU","EX"]	35	09	25	18	00		TS	40.3	-71.7	-999	3.606938
92	Polyline Z	AL	05	1894	UNNAMED	49	["TS","HU","EX"]	75	10	10	15	00	L	HU	40.7	-72.9	-999	1.640122
93	Polyline Z	AL	05	1894	UNNAMED	49	["TS","HU","EX"]	55	10	10	18	00		TS	42	-71.9	-999	3.275668
95	Polyline Z	AL	02	1896	UNNAMED	52	["TS","HU","EX"]	70	09	10	12	00		HU	41	-70.6	-999	0.2
96	Polyline Z	AL	02	1896	UNNAMED	52	["TS","HU","EX"]	70	09	10	13	00	L	HU	41.2	-70.6	-999	0.806226
97	Polyline Z	AL	02	1896	UNNAMED	52	["TS","HU","EX"]	55	09	10	18	00		TS	42	-70.7	-999	1.019804
98	Polyline Z	AL	02	1896	UNNAMED	52	["TS","HU","EX"]	50	09	11	00	00		EX	43	-70.5	-999	0.984886
99	Polyline Z	AL	02	1896	UNNAMED	52	["TS","HU","EX"]	45	09	11	06	00		EX	43.9	-70.1	-999	1.029563
101	Polyline Z	AL	03	1897	UNNAMED	25	["TS","TD"]	45	09	24	12	00		TS	41	-72.5	-999	0.424264
